Company,Sales,ProfitMargin,Age,Income,Gender,Location,Review
Costcutter,46153.00036476351,0.10445430986095483,75,25605.767377022825,Female,Manchester,Bad shopping experience
Costcutter,59700.192947405056,0.127400879928164,68,25375.56002680687,Male,Manchester,Limited product availability
Costcutter,64324.97260902751,0.18146601023465445,59,33848.56607660107,Female,London,Excellent product selection
Costcutter,38087.53327467014,0.15337946438704578,25,18439.188663548794,Female,Dublin,Bad shopping experience
Costcutter,45199.98696890336,0.15639790527445055,52,37739.604895439195,Male,Liverpool,Very clean and organized store
Costcutter,41067.5575470707,0.18066897234201312,54,28655.562158813504,Male,London,Very clean and organized store
Musgrave,98079.24368316564,0.19579927429666585,21,37541.327598275624,Female,Dublin,Very clean and organized store
Costcutter,54362.91129880922,0.10752925736002256,29,20444.218600562854,Male,Dublin,Long waiting time
Musgrave,76985.12710142194,0.15418178400523558,62,33449.907480018526,Male,Manchester,Limited product availability
Musgrave,88349.69016129238,0.20401519384297934,18,27779.511423659602,Female,Birmingham,Very satisfied with quality
Musgrave,88552.88003728735,0.10641138003780774,63,35559.64317249512,Female,Liverpool,Excellent product selection
Musgrave,93963.36822963179,0.17381749896652945,68,39615.19651184614,Male,Dublin,Too expensive
Costcutter,36751.50770351226,0.10334591293248266,61,31155.03427607745,Female,London,Very satisfied with quality
Musgrave,121153.41102748117,0.2173596842043922,49,33615.76694468859,Female,Manchester,Great prices and excellent service
Costcutter,58137.29584642929,0.1345017324519564,42,43634.80678422832,Male,Manchester,Very satisfied with quality
Costcutter,39601.66353501336,0.10255979067349354,56,14031.62463003502,Male,Birmingham,Bad shopping experience
Costcutter,28087.582329188917,0.1162746541962382,50,31317.254027343355,Female,Liverpool,Long waiting time
Musgrave,109187.36094537009,0.2011345070988408,61,29989.689329472712,Female,Birmingham,Excellent product selection
Musgrave,87496.77047761904,0.20003299462013902,73,9021.523691877022,Female,Dublin,Excellent product selection
Musgrave,149445.90021965743,0.09728131308459964,58,21049.678458116847,Female,Dublin,Excellent product selection
Costcutter,36488.84804598154,0.06654548120588659,30,50866.01446582656,Female,Dublin,Limited product availability
Musgrave,106378.9680810751,0.2545067337602748,72,26136.079823497334,Male,Dublin,Long waiting time
Costcutter,40645.40894931742,0.1098336313544155,20,10353.084770366511,Male,Dublin,Bad shopping experience
Costcutter,44418.0134525556,0.1109234768539556,25,42122.683753390775,Female,Birmingham,Very clean and organized store
Musgrave,71389.17439693747,0.2820105102629473,42,23208.07865962962,Male,Manchester,Friendly staff and fast checkout
Costcutter,56458.41288895419,0.14736493301844358,24,46306.28561807712,Female,Birmingham,Friendly staff and fast checkout
Musgrave,118870.60103510573,0.14567810657481295,28,37638.30996596647,Female,Dublin,Very satisfied with quality
Musgrave,132645.62327607235,0.10682429316883142,20,28910.682426029136,Female,London,Friendly staff and fast checkout
Musgrave,128393.18312349044,0.14192777115055288,58,29263.888477860946,Female,Dublin,Friendly staff and fast checkout
Musgrave,148079.96514569706,0.14885891385519479,60,28280.24282623751,Female,Birmingham,Excellent product selection
Musgrave,103718.85314278219,0.16450228657364768,61,29908.727120939955,Female,London,Limited product availability
Musgrave,184201.1634818374,0.15343865363815357,24,44864.457317283785,Female,Manchester,Great prices and excellent service
Costcutter,77483.49760084487,0.12543576926076774,54,32371.64763686632,Male,Manchester,Excellent product selection
Musgrave,144278.3149648385,0.14575666577117255,28,42481.32737427871,Male,Manchester,Limited product availability
Costcutter,58147.58463489342,0.09414727827854599,32,47212.59368722332,Female,Liverpool,Limited product availability
Musgrave,134244.36004897978,0.22884316237024455,73,40886.135089574964,Male,Birmingham,Great prices and excellent service
Musgrave,113156.07993539728,0.16157065303817864,69,27560.57666883318,Female,Manchester,Friendly staff and fast checkout
Costcutter,56640.703255066765,0.09158743050892636,53,46880.730093704115,Female,London,Excellent product selection
Musgrave,148662.27663513916,0.2169174577059839,60,15034.950619599975,Female,Liverpool,Great prices and excellent service
Costcutter,23864.32243521483,0.12257238653379425,27,30692.47306497617,Male,Birmingham,Limited product availability
