Retailer,Region,Product,Units_Sold,Price_per_Unit,Customer_Gender,Customer_Income,Customer_Age_Group,Total_Sales,Operating_Profit,Operating_Margin,High_Profit
1,3,0,220,48,1,0,3,10560,3318.2589797851842,0.31422907005541517,1
0,0,0,201,54,1,2,0,10854,1793.8811032731528,0.16527373348748414,0
1,1,0,53,25,0,2,3,1325,130.35513024670013,0.09838123037486803,0
1,0,1,38,159,0,1,3,6042,1145.9508439465487,0.18966415821690644,0
1,0,1,68,130,0,1,3,8840,3473.855255028685,0.3929700514738331,1
0,3,1,80,57,1,0,2,4560,588.5067350419872,0.12905849452675158,0
1,0,0,101,96,1,2,0,9696,2562.2216249897424,0.2642555306301302,1
1,3,1,274,112,0,2,2,30688,6184.8769337183185,0.20154056744389723,1
1,2,2,392,166,1,2,2,65072,4871.198733126944,0.07485859867726433,0
0,2,2,229,86,0,0,1,19694,4347.584657484024,0.22075681209932083,1
1,3,1,399,155,1,2,1,61845,18291.123516839212,0.2957575150269094,1
1,2,2,422,27,0,1,3,11394,2616.369941603759,0.22962699153973662,1
1,1,2,451,141,1,0,3,63591,22589.883844898093,0.3552371223113034,1
1,0,0,410,103,1,1,1,42230,6382.1335747074,0.15112795583015393,0
0,1,1,409,194,0,1,1,79346,6362.53436119954,0.08018720995638773,0
1,0,1,224,151,0,0,0,33824,12778.638337052142,0.3777979640803022,1
0,2,0,488,198,0,1,3,96624,17621.195426885122,0.18236872233487667,0
0,1,2,396,104,0,2,3,41184,10367.740180873252,0.2517419430087717,1
0,2,2,286,64,0,0,1,18304,5989.088827240488,0.32720109414556864,1
1,0,1,73,155,1,1,0,11315,1850.1131873632683,0.16350978235645322,0
0,3,2,355,106,0,2,1,37630,11313.74505006823,0.30065758836216394,1
1,3,0,301,35,0,2,1,10535,1026.0731539907865,0.09739659743623982,0
0,1,0,499,96,0,1,2,47904,7279.147483146384,0.15195281152192686,0
0,2,1,494,28,1,2,3,13832,1392.1731316641203,0.10064872264778198,0
0,2,0,254,79,0,0,0,20066,6700.653334708577,0.33393069544047527,1
0,1,0,479,97,0,1,2,46463,5943.882995719746,0.1279272323293749,0
0,3,1,71,96,0,2,3,6816,2052.2379217746698,0.3010912443918236,1
0,0,0,435,90,1,2,1,39150,14883.046288258556,0.38015443903597845,1
0,1,0,341,34,1,1,0,11594,2721.3468471805963,0.23472027317410699,1
0,0,0,179,90,0,1,3,16110,3850.454600561888,0.23901021729124072,1
1,3,2,454,121,1,1,1,54934,11610.946310459824,0.21136174883423423,1
1,2,1,278,188,0,1,2,52264,8574.51285901387,0.16406155018777496,0
0,3,1,276,41,1,0,0,11316,2449.679315481227,0.21647926082372101,1
0,1,1,63,171,0,1,3,10773,2811.56594078843,0.2609826362933658,1
0,2,2,25,132,1,0,2,3300,1303.8202658571117,0.39509705025973085,1
1,1,2,17,191,0,0,1,3247,1228.0725334371962,0.37821759576137853,1
0,1,1,113,20,0,1,1,2260,794.9629900098594,0.35175353540259263,1
1,3,2,68,29,1,0,3,1972,712.2778957434933,0.36119568749670045,1
1,1,1,322,129,0,1,1,41538,8878.631781454707,0.213747214152215,1
1,3,2,49,132,0,1,0,6468,1811.722467864345,0.2801055145121127,1
1,2,0,246,69,0,2,3,16974,6166.201894291756,0.363273353027675,1
1,3,0,452,31,0,1,2,14012,2627.709141670594,0.18753276774697358,0
0,2,1,395,108,1,2,3,42660,16493.075564176197,0.3866168674209141,1
0,3,2,103,173,0,0,3,17819,3484.0621440037708,0.19552512172421407,0
0,0,2,231,131,1,2,2,30261,7879.326888112435,0.2603789328876255,1
0,0,0,213,97,1,0,1,20661,6165.896313322167,0.2984316496453302,1
0,1,0,147,188,1,1,2,27636,10576.496305678324,0.38270720457657853,1
1,3,2,309,183,1,0,0,56547,7668.660757091721,0.13561569591829312,0
0,3,2,404,140,0,0,1,56560,17598.408845212165,0.31114584238352483,1
0,2,2,216,42,0,1,3,9072,2107.29364912469,0.2322854551504288,1
1,1,2,345,190,1,0,1,65550,9438.87219868906,0.1439949992172244,0
0,3,2,90,153,0,1,1,13770,4431.356664398705,0.32181239392873673,1
1,1,2,227,190,1,2,0,43130,10492.571430364302,0.24327779806084632,1
0,0,1,11,44,0,1,1,484,136.1689652180551,0.28134083722738656,1
1,3,2,187,37,0,1,1,6919,1127.903372721674,0.16301537400226537,0
0,3,0,405,160,0,0,1,64800,14155.293227450082,0.21844588313966176,1
0,1,1,380,62,1,2,3,23560,6268.7031536476015,0.2660739878458235,1
1,3,2,355,97,1,1,1,34435,6601.836361283728,0.19171878499444542,0
1,1,0,288,47,0,2,2,13536,1616.60974478247,0.11943038894669548,0
1,3,1,155,165,1,2,1,25575,9886.634456837366,0.38657417231035646,1
1,2,0,327,78,1,0,0,25506,5841.22187671445,0.22901363901491611,1
1,1,2,233,82,0,1,1,19106,5863.098908150882,0.3068721296006952,1
1,3,2,378,111,1,0,1,41958,8134.251351528781,0.19386651774462035,0
1,0,2,393,198,0,1,3,77814,13562.678080063983,0.17429611740900072,0
1,3,2,71,75,0,2,2,5325,1025.1024612681042,0.19250750446349374,0
0,0,1,303,174,0,1,1,52722,10186.88290878346,0.19321882532497744,0
0,0,1,248,179,1,1,2,44392,10674.635297413322,0.2404630405796838,1
1,2,0,204,130,0,2,0,26520,6370.487333167013,0.24021445449347711,1
0,1,2,175,156,0,2,3,27300,6115.304710760839,0.2240038355590051,1
0,3,0,460,87,1,1,2,40020,3888.9444893385557,0.09717502472110334,0
0,2,1,231,65,1,0,3,15015,3357.7506583899167,0.2236264174751859,1
0,3,2,70,86,1,1,1,6020,657.3019181863127,0.10918636514722803,0
1,0,2,138,173,1,2,0,23874,2247.678016708784,0.09414752520351781,0
0,1,1,487,155,0,0,3,75485,28414.516690724322,0.37642600106940877,1
1,3,1,182,25,1,2,1,4550,1190.882895937719,0.2617325046016965,1
0,3,1,489,43,1,2,2,21027,5904.834108264972,0.2808215203436045,1
0,0,1,165,195,1,0,0,32175,6133.448970041593,0.19062778461667734,0
0,3,1,414,113,1,2,0,46782,17222.480429946416,0.3681433121702026,1
1,3,2,387,192,0,2,2,74304,20305.475484204613,0.27327567135288294,1
0,0,1,119,32,1,2,2,3808,1215.5496021010374,0.31920945433325565,1
1,2,2,278,44,0,2,0,12232,2189.4896424014487,0.17899686415969987,0
0,0,2,420,167,1,2,3,70140,27074.331662228713,0.38600415828669393,1
1,2,1,365,137,0,2,0,50005,16859.75838502829,0.3371614515554103,1
0,1,1,400,101,0,2,2,40400,14094.83126702565,0.3488819620550903,1
1,2,2,287,130,1,2,3,37310,4114.098841179212,0.110267993599014,0
1,2,1,83,101,0,2,1,8383,1214.169600054552,0.14483712275492686,0
0,1,1,496,85,1,1,0,42160,6322.706104930863,0.14996930988925197,0
1,2,1,446,64,0,1,2,28544,4133.691503925542,0.1448182281364049,0
0,0,0,472,133,0,2,1,62776,21933.485974490577,0.34939285673650083,1
0,2,2,216,194,0,1,0,41904,2562.8351604472955,0.06115967832300724,0
0,1,0,397,82,1,0,0,32554,2494.7756644480446,0.07663499614327102,0
0,0,1,489,95,0,1,3,46455,6776.400360289262,0.1458702047204663,0
0,1,0,288,133,1,2,2,38304,4594.777047340302,0.11995554112730529,0
0,1,1,384,130,0,2,1,49920,6547.051173761127,0.13115086485899694,0
0,3,0,335,166,0,1,0,55610,18311.26726403161,0.32928011623865505,1
0,3,1,481,54,0,2,3,25974,6418.027552413209,0.24709430786221642,1
0,1,0,349,72,0,0,1,25128,1307.151811939395,0.0520197314525388,0
0,1,0,366,45,0,0,1,16470,3298.331082901834,0.20026296799646837,1
0,1,0,349,33,0,2,0,11517,2220.0137458874547,0.19275972439762565,0
1,3,2,213,137,1,0,1,29181,2622.8129176814286,0.08988084430559024,0
1,3,0,170,64,1,0,0,10880,3118.747930994349,0.28664962601051003,1
0,2,2,37,191,1,1,3,7067,2089.952290597252,0.2957340159328219,1
0,2,1,401,70,0,0,3,28070,8485.915430577335,0.3023126266682343,1
0,1,0,266,190,1,1,1,50540,15412.922555985937,0.30496483094550725,1
0,0,1,174,138,0,2,0,24012,1201.0439681044088,0.05001848942630388,0
0,0,1,72,170,1,1,2,12240,4698.596723679359,0.3838722813463528,1
0,3,0,31,38,1,2,3,1178,394.5982746566376,0.3349730684691321,1
0,3,2,79,101,0,2,0,7979,2923.4544849800677,0.36639359380624986,1
0,3,0,390,95,0,2,0,37050,2055.354431899152,0.05547515335760195,0
1,1,1,414,111,1,2,0,45954,17317.791485538255,0.3768505785250088,1
0,0,1,105,52,1,2,1,5460,1820.505878322968,0.33342598504083665,1
1,2,0,172,166,1,1,2,28552,9794.098339414868,0.34302670003554453,1
0,1,2,88,47,1,2,1,4136,341.8428181235216,0.08265058465268899,0
0,2,2,14,142,0,0,3,1988,613.4417525215603,0.3085723101215092,1
1,2,1,325,199,1,0,1,64675,24962.664165910785,0.38597084137473187,1
0,1,1,129,145,0,2,0,18705,5377.529807429343,0.28749156949635624,1
1,2,2,311,196,0,0,1,60956,15220.499343104131,0.2496964916186123,1
0,0,0,187,56,1,1,0,10472,3989.521894885624,0.380970387212149,1
0,2,1,185,173,0,1,2,32005,6561.920903388719,0.20502799260705262,1
1,0,2,399,118,1,2,1,47082,12229.678891160485,0.25975274820866756,1
0,0,1,226,117,0,2,1,26442,5730.468004802311,0.21671840272302817,1
1,0,0,65,146,0,2,1,9490,3572.948724248234,0.37649617747610475,1
0,3,2,375,187,1,0,0,70125,5373.654512550919,0.07662965436792754,0
1,2,1,196,99,0,0,0,19404,4373.50433618527,0.2253918952888719,1
1,1,0,241,57,0,1,1,13737,3989.6829905591185,0.2904333544849034,1
0,1,1,264,96,1,0,1,25344,8291.727758420611,0.327167288447783,1
0,2,0,422,145,0,1,2,61190,15545.718862987347,0.25405652660544775,1
1,3,0,464,106,0,0,2,49184,18105.67361440436,0.36812121044250895,1
0,3,2,113,73,1,1,3,8249,3132.1206058707703,0.3796970064093551,1
0,0,0,86,169,1,2,2,14534,1053.88545646344,0.07251172811775423,0
0,2,1,239,35,0,0,2,8365,1596.290347142259,0.19082968883948104,0
1,2,0,411,47,0,1,2,19317,1124.455272905639,0.05821065760240405,0
1,1,0,267,182,0,0,0,48594,8032.385566958788,0.16529583008105503,0
1,2,2,273,192,1,2,2,52416,12469.96957960148,0.23790387628971077,1
1,3,0,340,65,0,1,2,22100,8149.9987874944545,0.3687782256784821,1
1,2,0,490,91,0,0,1,44590,15441.25003355631,0.346294012862891,1
1,1,1,191,104,0,0,0,19864,1879.6290997143135,0.094624904335195,0
1,0,2,390,45,0,2,3,17550,1448.939076845952,0.0825606311593135,0
1,1,2,265,104,0,2,3,27560,7062.072749646811,0.2562435685648335,1
1,1,2,47,172,0,1,2,8084,1909.7745912748799,0.23624129036057395,1
0,0,0,185,84,1,0,3,15540,2225.8279917378995,0.14323217450050835,0
1,1,2,36,153,1,0,3,5508,2009.3656564028836,0.36480857959384233,1
0,1,0,285,170,0,2,3,48450,18148.315888444296,0.37457824331154377,1
0,2,0,149,134,0,2,2,19966,3811.788992264891,0.19091400341905695,0
0,2,1,308,83,1,1,3,25564,9244.093099517511,0.3616058949897321,1
1,0,1,454,106,1,0,2,48124,8873.204805628953,0.1843821129920404,0
1,2,1,296,190,1,0,1,56240,17315.50251773582,0.30788589114039505,1
1,2,1,100,126,0,1,1,12600,2728.9051793854637,0.21657977614170348,1
1,1,1,489,170,0,1,3,83130,7723.118230154743,0.09290410477751405,0
0,3,0,70,115,0,2,1,8050,3016.954611985308,0.37477697043295755,1
1,2,0,467,177,0,2,2,82659,17270.25960919783,0.20893380768213782,1
1,3,2,460,96,1,1,1,44160,13560.23169522307,0.3070704641128413,1
1,2,0,374,165,1,1,3,61710,11015.903630994266,0.17851083505095228,0
1,2,0,356,106,1,0,2,37736,2136.171091883477,0.05660830750168213,0
1,0,1,172,168,1,1,0,28896,2461.5238356657514,0.08518562554214257,0
0,0,0,360,76,0,1,2,27360,6119.797735595516,0.22367681782147356,1
1,0,1,152,122,0,0,1,18544,5405.344663492943,0.29148752499422687,1
0,3,2,409,170,1,1,0,69530,11622.451539970047,0.1671573643027477,0
1,1,2,262,110,1,2,2,28820,8456.39208772496,0.29342096071217766,1
0,2,0,278,64,1,2,0,17792,5240.1435425106765,0.2945224563011846,1
1,2,2,378,191,1,0,0,72198,21397.867623039157,0.2963775675647408,1
1,2,0,300,107,1,1,0,32100,7138.483029920412,0.22238264890717796,1
0,3,2,468,134,0,2,2,62712,23216.619086246916,0.3702101525425264,1
0,0,1,196,66,0,2,1,12936,2861.6861548090355,0.22121878129321548,1
0,1,1,414,187,1,2,2,77418,16071.420762542957,0.20759281772382338,1
1,3,1,447,198,1,2,1,88506,10601.539568574095,0.11978328665371947,0
0,0,1,468,189,1,1,2,88452,13947.047725394938,0.15767928057471778,0
1,3,0,423,154,0,1,2,65142,4222.313729069561,0.06481707238140617,0
1,1,2,313,69,0,1,2,21597,5868.71160767995,0.2717373527656596,1
0,0,0,300,195,0,1,1,58500,8013.769356907227,0.1369875103744825,0
0,3,1,95,103,1,2,2,9785,1530.9057077990967,0.1564543390699128,0
1,1,0,175,110,0,0,0,19250,6155.862839713364,0.3197850825825124,1
1,2,2,424,153,1,0,2,64872,10673.222407917443,0.16452741410650887,0
0,1,0,471,110,0,2,0,51810,6982.359207820314,0.13476856220459976,0
0,2,2,417,156,0,2,3,65052,7101.7406438260405,0.10917021219679703,0
0,3,0,123,128,0,0,3,15744,5056.979739383451,0.3212004407636846,1
1,0,2,442,76,1,0,1,33592,3204.5824164403443,0.09539719029650942,0
1,0,2,489,50,1,2,1,24450,5105.4978033424,0.20881381608762373,1
1,3,1,365,40,0,2,3,14600,3320.4128931544637,0.22742554062701806,1
1,0,2,425,109,1,1,2,46325,13461.418196808005,0.2905864694400001,1
1,0,1,192,59,1,1,2,11328,3077.242350753861,0.27164921881654847,1
1,2,1,216,131,1,0,2,28296,9443.853256579834,0.33375223553081124,1
0,3,1,265,64,1,2,3,16960,1113.64451178615,0.06566300187418336,0
1,1,0,244,96,1,0,0,23424,3601.53963803141,0.15375425367278903,0
1,2,0,451,196,1,1,1,88396,13086.757447143966,0.14804694157138293,0
1,3,0,364,106,1,1,0,38584,3901.0706998780665,0.10110591695723789,0
0,2,0,12,167,0,0,3,2004,303.0296272549092,0.1512123888497551,0
1,1,2,217,120,1,1,0,26040,4125.201073098422,0.1584178599500162,0
1,1,2,206,136,1,2,2,28016,6518.190279876082,0.23265956167461743,1
0,3,0,350,111,0,0,2,38850,10967.221652199767,0.28229656762418964,1
1,1,2,134,164,0,2,0,21976,4030.072710496629,0.18338517976413493,0
1,2,2,147,47,0,2,3,6909,2085.236939850453,0.30181458095968344,1
1,1,1,348,188,0,1,0,65424,10968.848388930655,0.167657868502853,0
1,2,1,34,44,1,2,2,1496,226.7925334420085,0.15159928706016612,0
1,2,1,77,77,0,0,2,5929,1419.4963941117041,0.23941581954995853,1
0,1,1,70,60,0,2,3,4200,244.86304964951222,0.05830072610702672,0
0,3,2,38,153,1,2,0,5814,453.06288768282735,0.07792619327190013,0
0,0,0,392,94,1,2,2,36848,7232.869609726723,0.1962893402552845,0
1,1,2,28,57,1,2,2,1596,606.5110405834353,0.3800194489871148,1
1,2,2,180,153,0,2,0,27540,8331.652045910761,0.3025291229451983,1
1,2,2,459,192,1,1,0,88128,7124.6464109308035,0.08084429932519521,0
0,1,1,83,94,0,0,1,7802,2701.140597500732,0.34621130447330584,1
1,3,1,70,161,1,1,3,11270,3452.06038966397,0.30630526971286337,1
1,3,1,436,85,1,0,3,37060,9777.587384889115,0.26383128399592864,1
0,2,0,162,187,0,0,0,30294,10212.184232043048,0.3371025362132121,1
1,2,2,285,22,1,0,3,6270,1200.3190608719196,0.19143844671003504,0
0,3,0,57,136,1,0,2,7752,988.5766511766733,0.12752536779884846,0
0,0,1,220,118,1,0,0,25960,5950.244513442188,0.2292081861880658,1
0,1,0,352,171,1,2,0,60192,14572.159033438833,0.24209461445771585,1
1,2,2,417,38,1,1,0,15846,3777.9118918041736,0.23841423020346925,1
1,2,2,148,165,0,1,1,24420,6050.68569578046,0.24777582701803685,1
1,3,1,119,135,0,2,3,16065,6137.580579029354,0.3820467213837133,1
1,1,1,491,144,1,0,1,70704,25862.531087388583,0.365785968083681,1
1,3,0,192,107,0,1,2,20544,7323.955779673399,0.3565009627956288,1
1,1,1,37,54,0,2,3,1998,660.3307758684031,0.33049588381801953,1
1,1,1,206,20,0,2,1,4120,1566.4233306765416,0.3801998375428499,1
0,1,2,200,172,1,1,0,34400,2905.8754858200155,0.08447312458779115,0
1,2,1,324,192,1,1,1,62208,8882.875746805797,0.14279314150600883,0
0,0,1,398,196,1,0,0,78008,17416.813473018003,0.22326958097910474,1
1,3,2,60,145,0,0,1,8700,3012.697531560769,0.34628707259319186,1
1,0,2,158,108,0,1,1,17064,3870.251695498368,0.2268079990329564,1
1,3,0,277,163,1,0,1,45151,14078.630780604228,0.3118121587695561,1
0,1,1,59,166,1,2,0,9794,966.04065920276,0.09863596683712068,0
0,2,2,397,170,0,0,1,67490,9336.892883225817,0.13834483454179608,0
0,0,0,255,44,0,0,3,11220,3434.6847252129396,0.30612163326318537,1
0,2,0,122,35,1,2,3,4270,459.69497628270364,0.10765690311070343,0
1,3,1,179,92,0,0,3,16468,2848.545336164067,0.17297457712922437,0
0,2,1,477,148,0,2,0,70596,10074.274417812412,0.14270319023475,0
1,2,0,175,61,0,0,0,10675,1840.9207550387355,0.1724515929778675,0
1,0,2,418,166,0,1,3,69388,20671.616191097775,0.29791341717728964,1
0,1,0,23,181,0,0,3,4163,744.1217352841184,0.17874651339998038,0
0,2,1,212,99,0,1,3,20988,5128.253315213407,0.24434216291277908,1
0,1,2,297,123,0,1,2,36531,3104.263990236124,0.08497615696904338,0
0,3,2,404,165,1,1,3,66660,22114.867800857104,0.33175619263211975,1
0,2,0,198,53,1,1,1,10494,1883.263933142998,0.17946101897684372,0
0,0,1,411,108,0,1,2,44388,12294.896987910202,0.27698695566166986,1
0,3,0,164,144,0,2,2,23616,7176.580291496044,0.3038863605816414,1
0,3,0,64,64,0,2,0,4096,505.3698979393337,0.12338132273909515,0
1,0,0,191,153,1,2,1,29223,10509.64997985211,0.3596362447336725,1
0,2,2,219,40,1,1,0,8760,2327.343555426918,0.26567848806243355,1
0,2,2,385,141,0,0,0,54285,10859.92051199271,0.2000537996130185,1
1,3,1,480,89,1,2,1,42720,4862.275664861539,0.11381731425237684,0
0,2,1,84,115,0,0,0,9660,3668.9194710439806,0.3798053282654224,1
1,1,0,286,124,0,0,1,35464,11145.408576963386,0.31427387144606883,1
1,0,0,437,67,0,1,1,29279,3595.7129102933777,0.12280859695663711,0
0,1,0,142,58,0,1,0,8236,1385.2850792200497,0.1681987711534786,0
1,2,1,352,50,0,1,3,17600,5867.593429822532,0.33338599033082567,1
1,3,2,434,29,0,2,0,12586,3693.8296742298903,0.2934871821253687,1
1,0,2,68,49,0,1,2,3332,1059.657642165078,0.31802450245050357,1
1,2,0,354,37,1,2,0,13098,2677.4982128747465,0.20442038577452637,1
0,2,0,498,107,0,2,1,53286,16026.653945902679,0.30076669192475847,1
1,3,0,191,144,1,2,2,27504,5095.743173777179,0.1852728030023698,0
0,3,0,467,92,0,2,1,42964,5325.044987166435,0.12394202092836876,0
1,1,1,415,34,0,1,3,14110,3829.9755365640563,0.271436962194476,1
1,0,2,348,23,1,2,3,8004,3134.405411172462,0.391604873959578,1
1,0,0,330,187,1,1,2,61710,9794.015080682027,0.15871033998836537,0
1,3,1,73,28,0,1,3,2044,431.9776462688509,0.21133935727438888,1
0,1,0,336,128,1,2,3,43008,12296.007838440293,0.2859004798744488,1
0,0,0,269,156,0,1,0,41964,10051.519368045829,0.23952719874287076,1
1,3,2,202,173,0,0,0,34946,12063.349712096953,0.34519972849816727,1
1,2,0,152,151,1,1,3,22952,7266.831509610916,0.3166099472643306,1
0,0,2,113,35,1,1,3,3955,278.44790444646776,0.07040402135182497,0
1,1,2,469,162,1,2,0,75978,30349.216978871176,0.39944743187332094,1
1,1,2,415,118,1,2,3,48970,15344.30185552481,0.31334085880181356,1
1,1,1,223,140,0,1,3,31220,11000.871537145775,0.35236616070293963,1
